Price,Address,Disposition,m2,Link,Image URL,Street,City_part,geo_latitute,geo_longitude,Date
5490000,"U Viaduktu, Brno - Chrlice",2+kk,48,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-chrlice-u-viaduktu/2833691468,"https://d18-a.sdn.cz/d_18/c_img_ob_A/nPvP7Dwxi2CnKLHWfDpslVY/5873.jpeg?fl=res,100,100,1|jpg,80",U Viaduktu,Brno - Chrlice,49.1376225,16.6557269,2025-07-07
5490000,"Koliště, Brno - Zábrdovice",2+1,52,https://www.sreality.cz/detail/prodej/byt/2+1/brno-zabrdovice-koliste/4143858252,"https://d18-a.sdn.cz/d_18/c_img_oZ_B/nsLxLojIBfZuBGZSDLx9la/0c9a.png?fl=res,100,100,1|jpg,80",Koliště,Brno - Zábrdovice,49.1935686,16.6159404,2025-07-07
5500000,"Nejedlého, Brno - Lesná",2+1,54,https://www.sreality.cz/detail/prodej/byt/2+1/brno-lesna-nejedleho/314188364,"https://d18-a.sdn.cz/d_18/c_img_oa_C/kOeDqKABdsbETCf0Dc8u4F/6ea7.png?fl=res,100,100,1|jpg,80",Nejedlého,Brno - Lesná,49.2278463,16.6277565,2025-07-07
5450000,"Bořetická, Brno - Židenice",2+kk,44,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-boreticka/3407655756,"https://d18-a.sdn.cz/d_18/c_img_oa_C/kFWXc8OzrUUXBJWDf8xps/4476.jpeg?fl=res,100,100,1|jpg,80",Bořetická,Brno - Židenice,49.2025913,16.6594326,2025-07-07
5340000,"Koliště, Brno - Trnitá",2+kk,41,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-koliste/3918574412,"https://d18-a.sdn.cz/d_18/c_img_oa_B/kBkJRwehYQKXlFxCDZW7g7/be31.jpeg?fl=res,100,100,1|jpg,80",Koliště,Brno - Trnitá,49.1924482,16.6154411,2025-07-07
5450000,"Šromova, Brno - Chrlice",2+1,56,https://www.sreality.cz/detail/prodej/byt/2+1/brno-chrlice-sromova/483697484,"https://d18-a.sdn.cz/d_18/c_img_oa_E/kPxAuWMbDHC2NaaCWJDnU0Jg/088f.png?fl=res,100,100,1|jpg,80",Šromova,Brno - Chrlice,,,2025-07-07
5490000,"Šámalova, Brno - Židenice",2+kk,40,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-samalova/3304743500,"https://d18-a.sdn.cz/d_18/c_img_ob_A/nPvP7Dwxi2b8GuViDptJHP/4149.jpeg?fl=res,100,100,1|jpg,80",Šámalova,Brno - Židenice,,,2025-07-07
5302500,"Soudní, Brno - Zábrdovice",2+kk,60,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zabrdovice-soudni/2158732108,"https://d18-a.sdn.cz/d_18/c_img_oa_C/nQOSLp28xnEBYaHZYDdj6eI/d089.jpeg?fl=res,100,100,1|jpg,80",Soudní,Brno - Zábrdovice,,,2025-07-07
5390000,"Oderská, Brno - Starý Lískovec",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-stary-liskovec-oderska/2970002252,"https://d18-a.sdn.cz/d_18/c_img_oa_E/kPxAuWMbDHCL8cmBgqDlBZNy/f519.jpeg?fl=res,100,100,1|jpg,80",Oderská,Brno - Starý Lískovec,,,2025-07-07
5400000,"Cejl, Brno - Zábrdovice",2+kk,42,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zabrdovice-cejl/2362860108,"https://d18-a.sdn.cz/d_18/c_img_oa_E/nO7kYQIzllzLYfDcsDldkPs/0cab.jpeg?fl=res,100,100,1|jpg,80",Cejl,Brno - Zábrdovice,,,2025-07-07
4950000,"Valtická, Brno - Židenice",2+kk,44,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-valticka/1674355532,"https://d18-a.sdn.cz/d_18/c_img_ob_A/kPxAuWMbDHCgJCaVhDoAFjC/0eda.jpeg?fl=res,800,600,3|shr,,20|webp,60",Valtická,Brno - Židenice,,,2025-07-07
5480000,"Koliště, Brno - Trnitá",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-koliste/3872793164,"https://d18-a.sdn.cz/d_18/c_img_oa_A/nsLxLojIIE33POQDYtni3/1850.jpeg?fl=res,800,600,3|shr,,20|webp,60",Koliště,Brno - Trnitá,,,2025-07-07
4970000,"Strnadova, Brno - Líšeň",2+kk,47,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-lisen-strnadova/3926606412,"https://d18-a.sdn.cz/d_18/c_img_oa_B/kOeDqKABdsBfbp9ctDcu7tj/c023.jpeg?fl=res,800,600,3|shr,,20|webp,60",Strnadova,Brno - Líšeň,,,2025-07-07
5390000,"Jílová, Brno - Štýřice",2+1,54,https://www.sreality.cz/detail/prodej/byt/2+1/brno-styrice-jilova/1140757324,"https://d18-a.sdn.cz/d_18/c_img_ob_B/nPvP7Dwxi2txZrBURDrl5PF/3c8e.jpeg?fl=res,100,100,1|jpg,80",Jílová,Brno - Štýřice,49.1780857,16.5935784,2025-07-07
4500000,"Obilní trh, Brno - Veveří",2+1,45,https://www.sreality.cz/detail/prodej/byt/2+1/brno-veveri-obilni-trh/2337182540,"https://d18-a.sdn.cz/d_18/c_img_ob_B/kPxAuWMbDHBP5fVfpDridy8/0144.png?fl=res,100,100,1|jpg,80",Obilní trh,Brno - Veveří,49.1988539,16.5982031,2025-07-07
5499000,"třída Generála Píky, Brno",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-brno-trida-generala-piky/2151457612,"https://d18-a.sdn.cz/d_18/c_img_oa_D/nO7kYQIzllBVGtZU0Dg4QFX/0da7.png?fl=res,100,100,1|jpg,80",třída Generála Píky,Brno,49.2188261,16.6178514,2025-07-10
5490000,"Havlenova, Brno - Štýřice",2+1,41,https://www.sreality.cz/detail/prodej/byt/2+1/brno-styrice-havlenova/430814028,"https://d18-a.sdn.cz/d_18/c_img_ob_B/nPTQKDwGerDZzxhmdDtvdxA/6843.jpeg?fl=res,800,600,3|shr,,20|webp,60",Havlenova,Brno - Štýřice,49.1813142,16.5967068,2025-07-11
