Price,Address,Disposition,m2,Link,Image URL,Street,City_part,geo_latitute,geo_longitude
5490000,"Krásného, Brno - Židenice",2+1,53,https://www.sreality.cz/detail/prodej/byt/2+1/brno-zidenice-krasneho/4186280780,"https://d18-a.sdn.cz/d_18/c_img_ob_C/nPTQKDwGerpxkyComDx7Kcv/d02a.jpeg?fl=res,100,100,1|jpg,80",Krásného,Brno - Židenice,49.1912315,16.6530864
5499000,"třída Generála Píky, Brno",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-brno-trida-generala-piky/2151457612,"https://d18-a.sdn.cz/d_18/c_img_oa_D/nO7kYQIzllBVGtZU0Dg4QFX/0da7.png?fl=res,100,100,1|jpg,80",třída Generála Píky,Brno,49.2188261,16.6178514
5500000,"Nejedlého, Brno - Lesná",2+1,54,https://www.sreality.cz/detail/prodej/byt/2+1/brno-lesna-nejedleho/314188364,"https://d18-a.sdn.cz/d_18/c_img_oa_C/kOeDqKABdsbETCf0Dc8u4F/6ea7.png?fl=res,100,100,1|jpg,80",Nejedlého,Brno - Lesná,49.2278463,16.6277565
5490000,"U Viaduktu, Brno - Chrlice",2+kk,48,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-chrlice-u-viaduktu/2833691468,"https://d18-a.sdn.cz/d_18/c_img_ob_C/nPTQKDwGerCfmDJCVSDxP5v1/f72b.jpeg?fl=res,100,100,1|jpg,80",U Viaduktu,Brno - Chrlice,49.1376225,16.6557269
5450000,"Bořetická, Brno - Židenice",2+kk,44,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-boreticka/3407655756,"https://d18-a.sdn.cz/d_18/c_img_oa_C/kFWXc8OzrUUXBJWDf8xps/4476.jpeg?fl=res,100,100,1|jpg,80",Bořetická,Brno - Židenice,49.2025913,16.6594326
5400000,"Cejl, Brno - Zábrdovice",2+kk,42,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zabrdovice-cejl/2362860108,"https://d18-a.sdn.cz/d_18/c_img_oa_E/nO7kYQIzllzLYfDcsDldkPs/0cab.jpeg?fl=res,100,100,1|jpg,80",Cejl,Brno - Zábrdovice,49.1961729,16.6158371
5490000,"Stavební, Brno - Trnitá",2+kk,41,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-stavebni/310547276,"https://d18-a.sdn.cz/d_18/c_img_ob_C/kBj94XhVwDanygBGnDwLPJc/7100.jpeg?fl=res,100,100,1|jpg,80",Stavební,Brno - Trnitá,,
5490000,"Šámalova, Brno - Židenice",2+kk,40,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-samalova/3304743500,"https://d18-a.sdn.cz/d_18/c_img_ob_C/kBj94XhVwCGmreBYbDxQKPo/4976.jpeg?fl=res,100,100,1|jpg,80",Šámalova,Brno - Židenice,,
5000000,"Koliště, Brno - Zábrdovice",2+1,52,https://www.sreality.cz/detail/prodej/byt/2+1/brno-zabrdovice-koliste/4143858252,"https://d18-a.sdn.cz/d_18/c_img_oZ_B/nsLxLojIBfZuBGZSDLx9la/0c9a.png?fl=res,100,100,1|jpg,80",Koliště,Brno - Zábrdovice,,
5450000,"Šromova, Brno - Chrlice",2+1,56,https://www.sreality.cz/detail/prodej/byt/2+1/brno-chrlice-sromova/483697484,"https://d18-a.sdn.cz/d_18/c_img_oa_E/kPxAuWMbDHC2NaaCWJDnU0Jg/088f.png?fl=res,100,100,1|jpg,80",Šromova,Brno - Chrlice,,
5302500,"Soudní, Brno - Zábrdovice",2+kk,60,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zabrdovice-soudni/2158732108,"https://d18-a.sdn.cz/d_18/c_img_oa_C/nQOSLp28xnEBYaHZYDdj6eI/d089.jpeg?fl=res,100,100,1|jpg,80",Soudní,Brno - Zábrdovice,,
5340000,"Koliště, Brno - Trnitá",2+kk,41,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-koliste/3918574412,"https://d18-a.sdn.cz/d_18/c_img_oa_B/kBkJRwehYQKXlFxCDZW7g7/be31.jpeg?fl=res,800,600,3|shr,,20|webp,60",Koliště,Brno - Trnitá,,
4950000,"Valtická, Brno - Židenice",2+kk,44,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-zidenice-valticka/1674355532,"https://d18-a.sdn.cz/d_18/c_img_ob_A/kPxAuWMbDHCgJCaVhDoAFjC/0eda.jpeg?fl=res,800,600,3|shr,,20|webp,60",Valtická,Brno - Židenice,,
5490000,"Havlenova, Brno - Štýřice",2+1,41,https://www.sreality.cz/detail/prodej/byt/2+1/brno-styrice-havlenova/430814028,"https://d18-a.sdn.cz/d_18/c_img_ob_C/nPTQKDwGerDx2swBhiDvn0kl/b476.jpeg?fl=res,800,600,3|shr,,20|webp,60",Havlenova,Brno - Štýřice,,
5480000,"Koliště, Brno - Trnitá",2+kk,45,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-trnita-koliste/3872793164,"https://d18-a.sdn.cz/d_18/c_img_oa_A/nsLxLojIIE33POQDYtni3/1850.jpeg?fl=res,800,600,3|shr,,20|webp,60",Koliště,Brno - Trnitá,,
4970000,"Strnadova, Brno - Líšeň",2+kk,47,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-lisen-strnadova/3926606412,"https://d18-a.sdn.cz/d_18/c_img_oa_B/kOeDqKABdsBfbp9ctDcu7tj/c023.jpeg?fl=res,800,600,3|shr,,20|webp,60",Strnadova,Brno - Líšeň,,
